#,Company,Symbol,Weight,Price,Chg,% Chg
181,Allstate,ALL,0.10%,207.57,0.92,0.45
182,Charter Communications,CHTR,0.10%,395.52,4.25,1.09
183,American Electric Power,AEP,0.10%,101.28,-0.49,0.48
184,Regeneron Pharmaceuticals,REGN,0.10%,497.7,14.63,3.03
185,MetLife,MET,0.10%,79.57,1.01,1.28
186,Quanta Services,PWR,0.10%,360.25,0.67,0.18
187,NXP Semiconductors,NXPI,0.10%,209.88,2.98,1.44
188,Public Storage,PSA,0.10%,301.19,0.73,0.24
189,FedEx,FDX,0.10%,220.04,3.31,1.53
190,Truist Financial,TFC,0.10%,40.24,0.6,1.53
191,Simon Property Group,SPG,0.10%,161.09,0.34,0.21
192,W. W. Grainger,GWW,0.10%,1092.69,7.16,0.66
193,ONEOK,OKE,0.09%,81.52,0.33,0.4
194,Realty Income,O,0.09%,55.71,-0.12,0.22
195,American International Group,AIG,0.09%,86.88,1.46,1.71
196,Sempra,SRE,0.09%,76.39,0.44,0.57
197,Marathon Petroleum,MPC,0.09%,161.12,2.91,1.84
198,Becton Dickinson,BDX,0.09%,172.42,1.39,0.82
199,Ameriprise Financial,AMP,0.09%,515.5,7.11,1.4
200,Paccar,PCAR,0.09%,93.46,1.01,1.1
201,Corteva,CTVA,0.09%,71.73,0.53,0.75
202,TE Connectivity,TEL,0.09%,164.76,2.44,1.5
203,"Nasdaq, Inc.",NDAQ,0.09%,84.96,0.96,1.15
204,Copart,CPRT,0.09%,50.32,0.18,0.36
205,Fastenal,FAST,0.09%,41.87,0.53,1.29
206,Dominion Energy,D,0.09%,55.54,-0.46,0.82
207,Ross Stores,ROST,0.09%,143.07,0.82,0.58
208,Phillips 66,PSX,0.09%,114.16,1.93,1.72
209,United Rentals,URI,0.09%,706.96,7.78,1.11
210,Schlumberger,SLB,0.09%,33.91,0.83,2.49
211,General Motors,GM,0.08%,47.54,0.29,0.61
212,L3Harris,LHX,0.08%,243.01,0.95,0.39
213,Edwards Lifesciences,EW,0.08%,77.2,-0.57,0.74
214,Cummins,CMI,0.08%,326.05,2.93,0.91
215,Verisk Analytics,VRSK,0.08%,319.5,-1.09,0.34
216,Kimberly-Clark,KMB,0.08%,133.96,-1.34,0.99
217,Keurig Dr Pepper,KDP,0.08%,32.63,0.06,0.2
218,Kroger,KR,0.08%,65.86,-0.38,0.57
219,Target Corporation,TGT,0.08%,96.51,2.99,3.2
220,MSCI,MSCI,0.08%,566.5,2.42,0.43
221,Corning Inc.,GLW,0.08%,51.06,0.2,0.39
222,Fair Isaac,FICO,0.08%,1773.26,1.36,0.08
223,Crown Castle,CCI,0.08%,99.04,-1.24,1.24
224,Exelon,EXC,0.08%,42.46,-0.4,0.93
225,Fidelity National Information Services,FIS,0.08%,81.15,0.61,0.76
226,Take-Two Interactive,TTWO,0.08%,231.56,0.53,0.23
227,Idexx Laboratories,IDXX,0.08%,524.11,1.9,0.36
228,Hess Corporation,HES,0.08%,136.15,3.1,2.33
229,Occidental Petroleum,OXY,0.08%,42.76,0.94,2.24
230,Kenvue,KVUE,0.08%,21.8,0.15,0.67
231,Ametek,AME,0.08%,178.98,2.04,1.16
232,Diamondback Energy,FANG,0.08%,140.65,3.2,2.33
233,Ford Motor Company,F,0.08%,10.33,0.22,2.23
234,Valero Energy,VLO,0.08%,129.48,2.6,2.05
235,Yum! Brands,YUM,0.07%,144.47,1.59,1.11
236,Garmin,GRMN,0.07%,206.76,1.28,0.62
237,Public Service Enterprise Group,PEG,0.07%,79.59,-0.24,0.31
238,Cognizant,CTSH,0.07%,80.18,0.86,1.09
239,Xcel Energy,XEL,0.07%,68.19,-0.38,0.55
240,CBRE Group,CBRE,0.07%,128.31,0.67,0.52
241,Otis Worldwide,OTIS,0.07%,96.22,0.94,0.98
242,Baker Hughes,BKR,0.07%,37.88,0.73,1.95
243,Electronic Arts,EA,0.07%,149.58,1.7,1.15
244,D. R. Horton,DHI,0.07%,121.86,-0.88,0.72
245,Prudential Financial,PRU,0.07%,105.12,1.39,1.34
246,ResMed,RMD,0.07%,251.53,1.84,0.74
247,Cardinal Health,CAH,0.07%,153.86,-0.26,0.17
248,Hartford (The),HIG,0.07%,128.8,0.75,0.59
249,Rockwell Automation,ROK,0.07%,323.98,3.48,1.09
250,Entergy,ETR,0.07%,81.8,-0.0,0.01
251,Consolidated Edison,ED,0.07%,101.25,-1.02,1.0
252,eBay,EBAY,0.07%,78.82,1.08,1.39
253,Sysco,SYY,0.07%,74.34,0.57,0.77
254,Targa Resources,TRGP,0.07%,165.9,1.77,1.08
255,Arch Capital Group,ACGL,0.07%,94.98,0.41,0.43
256,Microchip Technology,MCHP,0.07%,65.92,1.55,2.41
257,Wabtec,WAB,0.07%,205.62,1.45,0.71
258,Vulcan Materials Company,VMC,0.07%,265.34,-0.33,0.12
